track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
4a95VZJzjMWNJlwuIPzhsI,"Amit Trivedi, Pinky Maidasani, Yo Yo Honey Singh",Luv Shuv Tey Chicken Khurana (Original Motion Picture Soundtrack),KikliKalerdi,33,244506,False,0.898,0.714,10,-6.562,1,0.0567,0.502,3.38e-05,0.149,0.693,138.039,4,"filmi, hindi hip hop, modern bollywood"
0NMHJgkmn6heDuxpL2brXX,Mohammed Rafi,Chaudhvin Ka Chand (Original Motion Picture Soundtrack),Chaudhvin Ka Chand Ho,0,223506,False,0.524,0.28,7,-7.078,1,0.0289,0.899,0.0,0.144,0.525,97.694,4,"filmi, classic bollywood"
50sbcAcWHgDPRDkYBEUpkA,"Nusrat Fateh Ali Khan, Rahat Fateh Ali Khan, Manoj Muntashir","Mere Rashke Qamar (From ""Baadshaho"")","Mere Rashke Qamar (From ""Baadshaho"")",44,220382,False,0.718,0.83,4,-5.488,0,0.0505,0.404,2.5e-05,0.124,0.771,105.012,4,"filmi, world, desi pop, indian fusion, classic pakistani pop, sufi, modern bollywood, qawwali, pakistani folk"
3lLiSZxZW8PekaPyvDte44,"A R Rahman, Sunitha Sarathy, Tanvi",Yuva,Fanaa,0,281453,False,0.634,0.771,10,-9.825,0,0.0359,0.0192,0.0946,0.205,0.385,135.95,4,Unknown
4kW2PcurVYRNdiA3jl7jCl,Ayushmann Khurrana,Guitar Cafe - Ayushmann Khurrana,"Mitti Di Khushboo (From ""Mitti Di Khushboo"")",28,247222,False,0.64,0.754,6,-4.873,0,0.0392,0.395,0.0,0.209,0.355,94.989,4,"filmi, modern bollywood"
5JG9mkEmp8IJ4kjR5Cr0h9,Kishore Kumar,Krazy Kishore,"Chala Jata Hoon (From ""Mere Jeevan Saathi"")",33,269551,False,0.544,0.467,4,-7.403,1,0.032,0.911,3.01e-06,0.446,0.864,107.688,4,"filmi, classic bollywood"
3C4JEpDlObzAfMp7x95G8S,Amir Jamal,Murder (Original Motion Picture Soundtrack),"Kaho Na Kaho, Pt. 2",0,312280,False,0.657,0.86,0,-9.033,0,0.0896,0.171,0.0,0.0604,0.698,173.93,4,Unknown
77nPRPUI0OnoaBb0fSRRFU,"Shekhar Ravjiani, Loy Mendonsa",Luck By Chance,Yeh Zindagi Bhi,0,399053,False,0.647,0.442,7,-13.956,1,0.0455,0.035,4.89e-05,0.0708,0.74,94.933,4,"filmi, modern bollywood"
7292h5pidNaLfrse63T3dQ,"Shilpa Rao, Noori",Par Chanaa De (Coke Studio Season 9),Par Chanaa De (Coke Studio Season 9),48,666000,False,0.489,0.625,0,-5.598,1,0.0337,0.279,0.0,0.206,0.17,155.962,4,"filmi, pakistani pop, classic pakistani pop, sufi, modern bollywood"
1veNS1osFHTWf2G6q5AbuQ,"Mohan Kannan, Amitabh Bhattacharya, Amit Trivedi",Lootera,Shikayatein,37,270169,False,0.237,0.423,7,-8.874,1,0.0304,0.329,0.00022,0.148,0.154,78.05,4,"filmi, modern bollywood"
77krlS5YQNHGqmqET5tqHh,Jordindian,Smoke Shisha Play Fifa,Smoke Shisha Play Fifa,31,207157,True,0.847,0.504,9,-8.784,1,0.26,0.104,0.0,0.329,0.562,94.988,4,Unknown
4wIWWEhbdgKAxhR68eE0Ye,"Arijit Singh, Chinmayi",Groove With Arijit Singh,"Mast Magan (From ""2 States"")",68,280161,False,0.659,0.774,7,-7.014,1,0.0372,0.606,0.000333,0.185,0.883,82.995,4,"filmi, marathi pop, modern bollywood"
